,경기날짜,한화,SK,KT,롯데,삼성,엘지,기아,키움,두산,넥센
2016년,4월,0.26348808030112925,0.2668269230769231,0.2644628099173554,0.2925407925407925,0.2731893265565438,0.2584415584415584,0.27308192457737324,0.27427184466019416,0.2850061957868649,0.26848249027237353
2016년,5월,0.28896473265073946,0.2783882783882784,0.29638273045507585,0.29191797346200243,0.30372807017543857,0.2810126582278481,0.29965156794425085,0.2801875732708089,0.3300220750551877,0.3184559710494572
2016년,6월,0.28488372093023256,0.31075268817204305,0.2575574365175333,0.2927374301675978,0.2765726681127983,0.30837004405286345,0.27419354838709675,0.30192962542565266,0.28489702517162474,0.2884848484848485
2016년,7월,0.308,0.2962962962962963,0.2683658170914543,0.2833099579242637,0.28773584905660377,0.29102564102564105,0.31220095693779903,0.31536388140161725,0.2862957937584803,0.27710843373493976
2016년,8월,0.3002309468822171,0.2906178489702517,0.2748756218905473,0.2619974059662776,0.3209580838323353,0.2996742671009772,0.2916666666666667,0.2939666238767651,0.3018867924528302,0.30440097799510996
2016년,9월,0.2821782178217821,0.31277533039647576,0.2929292929292929,0.3108665749656121,0.2997601918465228,0.30662983425414364,0.2583081570996979,0.30634278002699056,0.2955145118733509,0.27667057444314186
2016년,10월,0.3355704697986577,0.25,0.27218934911242604,0.25961538461538464,0.2634730538922156,0.2405063291139241,0.2822085889570552,0.2529411764705882,0.30701754385964913,0.319838056680162
2017년,4월,0.2755905511811024,0.2673733804475854,0.229064039408867,0.2765196662693683,0.2600896860986547,0.2863905325443787,0.28080568720379145,0.2997787610619469,0.27181208053691275,0.27128263337116915
2017년,5월,0.2923777019340159,0.2656784492588369,0.28650442477876104,0.3008225616921269,0.25,0.2780548628428928,0.2878464818763326,0.290950744558992,0.29901960784313725,0.2746478873239437
2017년,6월,0.3072562358276644,0.2560553633217993,0.28036322360953464,0.2850828729281768,0.2858695652173913,0.3033448673587082,0.3408071748878924,0.30113636363636365,0.30372807017543857,0.3131428571428572
2017년,7월,0.28901734104046245,0.2645161290322581,0.25283630470016205,0.2597577388963661,0.2791005291005291,0.2946708463949843,0.3160556257901391,0.2959582790091265,0.3110181311018131,0.3047752808988764
2017년,8월,0.2974683544303797,0.28554641598119856,0.2921212121212121,0.29430379746835444,0.30619266055045874,0.2698795180722892,0.29614325068870523,0.2857142857142857,0.296655879180151,0.2750533049040512
2017년,9월,0.2672634271099744,0.2993730407523511,0.2922868741542625,0.29984544049459044,0.2909604519774011,0.2668213457076566,0.2997542997542997,0.26239067055393583,0.2920592193808883,0.32388663967611336
2017년,10월,0.27586206896551724,0.22857142857142854,0.3709677419354839,0.21428571428571427,0.3055555555555556,0.2318840579710145,0.2621359223300971,0.36585365853658536,0.24242424242424246,0.3333333333333333
2018년,4월,0.2788844621513944,0.2921760391198044,0.2825322391559203,0.3022959183673469,0.2773302646720368,0.3075089392133492,0.289437585733882,0.2491186839012926,0.29339853300733504,0.2291407222914072
2018년,5월,0.2708089097303634,0.2760351317440401,0.273696682464455,0.28174123337363965,0.302540415704388,0.3057671381936888,0.3132400430570506,0.3052516411378556,0.29369797859690844,0.2526071842410197
2018년,6월,0.2682379349046016,0.2667509481668774,0.2518796992481203,0.2953091684434968,0.2829324169530355,0.2890243902439024,0.27102803738317754,0.29244249726177435,0.3319148936170213,0.2537313432835821
2018년,7월,0.28754813863928114,0.28891820580474936,0.28843537414965986,0.2948207171314741,0.3016270337922403,0.29876543209876544,0.2778523489932886,0.26163522012578616,0.3263707571801567,0.25857519788918204
2018년,8월,0.2681704260651629,0.3023758099352052,0.25,0.31007751937984496,0.28475336322869954,0.3078556263269639,0.3524229074889868,0.3877952755905512,0.3013392857142857,0.3068893528183716
2018년,9월,0.2773207990599295,0.2761904761904762,0.2787286063569682,0.29396984924623115,0.275175644028103,0.2692307692307692,0.2938209331651955,0.2607052896725441,0.31447963800904977,0.28205128205128205
2018년,10월,0.2722772277227723,0.2676056338028169,0.2777777777777778,0.27790973871733965,0.3618421052631579,0.26811594202898553,0.2683544303797468,0.32432432432432434,0.31620553359683795,0.25842696629213485
2019년,4월,0.2517882689556509,0.24469413233458176,0.24600246002460024,0.2684210526315789,0.2619974059662776,0.2769028871391076,0.2670089858793325,0.3090277777777778,0.2843016069221261,0.2982233502538071
2019년,5월,0.2414553472987872,0.2691466083150985,0.2825112107623318,0.2738589211618257,0.2702394526795895,0.2557077625570776,0.26885245901639343,0.2757871878393051,0.2717023675310034,0.2958963282937365
2019년,6월,0.24785276073619636,0.29909706546275394,0.2896551724137931,0.24396135265700486,0.27560975609756105,0.27014755959137343,0.2695961995249406,0.2733644859813084,0.2710843373493976,0.2531486146095718
2019년,7월,0.2534351145038168,0.2751159196290572,0.2985553772070626,0.2276559865092749,0.25660964230171074,0.2605042016806723,0.2637571157495256,0.27987421383647804,0.2610921501706485,0.2867867867867868
2019년,8월,0.2610837438423645,0.2545235223160434,0.2737686139747996,0.2514827995255042,0.22549019607843135,0.2971360381861575,0.267349260523322,0.30347144456886893,0.30154946364719903,0.26492537313432835
2019년,9월,0.26880222841225626,0.2363013698630137,0.27197346600331673,0.22087745839636916,0.2352168199737188,0.2581560283687943,0.25337331334332835,0.24861878453038674,0.28169014084507044,0.2767732962447844
2020년,5월,0.2421185372005044,0.2429305912596401,0.30649038461538464,0.2546816479400749,0.2512690355329949,0.2936708860759494,0.2759856630824373,0.26811594202898553,0.29854368932038833,0.29606879606879605
2020년,6월,0.23875,0.23458282950423215,0.2724137931034483,0.2855377008652657,0.2673733804475854,0.2839080459770115,0.2658788774002954,0.2665094339622642,0.29021372328458944,0.29043683589138136
2020년,7월,0.2380106571936057,0.2539130434782609,0.2964912280701754,0.28597122302158273,0.31785714285714284,0.2504537205081669,0.2864493996569468,0.28130360205831906,0.3269230769230769,0.28125
